state,Harris,Trump,predicted_winner
Arizona,42.13609149999996,42.12387649999995,Harris
California,41.31205950000003,41.28015250000004,Harris
Florida,42.21389999999999,42.214094999999986,Trump
Georgia,42.70426450000001,42.701253000000015,Harris
Michigan,42.15073649999999,42.15146349999999,Trump
Minnesota,42.10566000000001,42.101951500000006,Harris
National,42.05532549999998,42.04732649999998,Harris
Nevada,41.24716550000003,41.23540550000004,Harris
New Hampshire,46.764893499999964,46.75406299999997,Harris
New York,41.201001000000026,41.189361000000055,Harris
North Carolina,42.32664799999998,42.31984599999997,Harris
Ohio,41.6045035,41.59059650000001,Harris
Pennsylvania,42.97835599999999,43.025538499999996,Trump
Texas,41.534009999999995,41.535624500000004,Trump
Virginia,42.092337999999984,42.04934549999998,Harris
Wisconsin,42.345621,42.34342899999999,Harris
